"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:35","Tags","Add/Replace Tag on Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/2076e19d-45f9-4564-a459-bb5a0aeaff85"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:35","Tags","Inherit Tag from Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/5cc2cbfc-e306-4ec6-a141-eea3c79bb2ae"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-28T14:41:33","Tags","Resources Require Tag on resources with Exclusions","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/c0e2f9e2-c21d-4197-a54d-4a0c38738704"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-24T12:11:34","Tags","Require Tag on Resource Group with dynamic notScope","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/7ce92201-8036-4d55-938e-0dce0a5bc475"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-29T11:04:02","Custom","Public IP addresses should use Ipv4","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/5ce93301-8036-4d55-938e-0dce0a5bc892"
"epac-dev","Policy","thisPaC","325b88ca-773e-4953-b642-661421a2d946","2024-05-29T11:04:03","Custom","Public IP addresses should use standard SKU","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyDefinitions/1ad22501-8036-4d55-938e-0dce0a5bc892"
"epac-dev","Policy Set","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2024-05-29T14:51:12","DfEStandards","DfE-publicIPaddresses-Pattern","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policySetDefinitions/ee24f2b6da25414bb20a4096"
"epac-dev","Assignment(Policy-Builtin)","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2024-01-24T12:45:02","","Configure Windows Arc Machines to be associated with a Data Collection Rule or a Data Collection Endpoint","/subscriptions/63ac0509-3112-457c-ba36-11a70921975d/providers/Microsoft.Authorization/policyAssignments/75c00bd9ef3445b18d6b2299"
"epac-dev","Assignment(PolicySet-Custom)","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2024-05-29T16:21:56","","DfE-publicIPaddresses-Pattern","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyAssignments/7b1290ec88c54f26930294e0"
"epac-dev","Assignment(Policy-Custom)","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-09-25T15:27:07","","Deploy VM Network Write Alert","/subscriptions/63ac0509-3112-457c-ba36-11a70921975d/providers/Microsoft.Authorization/policyAssignments/38aa60fc161443dfbc5eb072"
"epac-dev","Assignment(PolicySet-Builtin)","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2022-12-12T15:32:36","","Defender for Cloud Default 63ac0509-3112-457c-ba36-11a70921975d","/subscriptions/63ac0509-3112-457c-ba36-11a70921975d/providers/Microsoft.Authorization/policyAssignments/ASC Default 63ac0509-3112-457c-ba36-11a70921975d"
"epac-dev","Exemption(active)","thisPaC","n/a","n/a","Waiver","EPAC-Dev - Storage account keys should not be expired","/providers/Microsoft.Management/managementGroups/EPAC-Dev/providers/Microsoft.Authorization/policyExemptions/f8048a263f7d46579caccab1"
